Castaway,Job,URL,Book,Date first broadcast,Artist 1,Song 1,Artist 2,Song 2,Artist 3,Song 3,Artist 4,Song 4,Artist 5,Song 5,Artist 6,Song 6,Artist 7,Song 7,Artist 8,Song 8
Katherine Ryan,comedian,https://www.bbc.co.uk/programmes/m001r14k,"The Highway Rat by Julia Donaldson, illustrated by Axel Scheffler",2023-10-01,Spice Girls,Spice Up Your Life,Eminem,The Real Slim Shady,Madonna,La Isla Bonita,Blind Melon,Soul One,Taylor Swift,22,"Yacht, Classixx",Psychic City,Dave Matthews Band,Crash Into Me,Stefflon Don,16 Shots
Kirsty Young,broadcaster,https://www.bbc.co.uk/programmes/m001ghvx,The Most of Nora Ephron by Nora Ephron,2022-12-25,Steven Isserlis,I. Prelude [J.S.Bach] performed,Nina Simone,My Baby Just Cares for Me,Joni Mitchell,Both Sides Now,Dougie MacLean,Caledonia,"I Happen to Like New York Bobby Short, performer. [Cole Porter, composer]","I Happen to Like New York Bobby Short, performer. [Cole Porter, composer]",Fleetwood Mac,Songbird,Dennis Keene,"O Magnum Mysterium by [Tomás Luis de Victoria] sung by The Voices of Ascension choir, directed",Kendrick Lamar,Count Me Out
Kylie Minogue,,https://www.bbc.co.uk/programmes/b06rl9s5,The Outdoor Survival Handbook by Ray Mears,2015-12-13,ABBA,Dancing Queen,Stevie Wonder,Loves in Need of Love Today,Unione Musicisti di Roma,Cinema Paradiso,Prince & The Revolution,Purple Rain,INXS,Need You Tonight,Colin Hay,Beautiful World,Louis Armstrong,What A Wonderful World,,
Louis Theroux,,https://www.bbc.co.uk/programmes/m00050p7,Remembrance of things Past – Marcel Proust,2019-05-12,Marvin Gaye,All the Way Around,Murray Head,Heaven on Their Minds,The Smiths,Panic,Eric B. & Rakim,Paid in Full (Seven Minutes of Madness - Coldcut Remix),Bob Dylan,"Don't Think Twice, It's All Right",Fat Joe & Ashanti,What's Luv?,Joni Mitchell,California,Antônio Carlos Jobim & Herbie Mann,One Note Samba
Lyse Doucet,journalist,https://www.bbc.co.uk/programmes/m0013yzs,A Persian language book,2022-01-30,Amr Diab,Habibi Nour Al Ain,Mary Chapin Carpenter,Passionate Kisses,Lenny Gallant,Searching for Abegweit,John Denver,Annie's Song,Toumani Diabate And Ballake Sissoko,Bi Lamban,Ludovico Einaudi,L Einaudi: Elegy For The Arctic,Derek Roche,Here and Now,The orchestra of the Afghanistan National Institute of Music,Dawn
Maggie O'Farrell,writer,https://www.bbc.co.uk/programmes/m000tck8,Selected Stories by Alice Munro,2021-03-21,Beirut,Elephant Gun,The Pogues,Sit Down By The Fire,The Cure,Lovesong,Frédéric Chopin,Scherzo no.2 in B flat minor Op.31,Radiohead,The Bends,Stina Nordenstam,Little Star,Nina Simone,Feeling Good,Rizzle Kicks,Prophet (Better Watch It)
Malala Yousafzai,activist,https://www.bbc.co.uk/programmes/m000s84r,Plato: Complete Works,2021-02-14,Rahat Fateh Ali Khan & Amjad Sabri,Rang,Zarsanga,Shinwari Lawangeena,Justin Bieber,Never Say Never,Iqbal Bano,Hum Dekhen Ge,Cliff Richard & Sarah Brightman,All I Ask Of You,Quratulain Balouch,Kaari Kaari,Peter Asher,Love Always Comes as a Surprise,Sardar Ali Takkar,Bibi Sherina
Martin Freeman,actor,https://www.bbc.co.uk/programmes/m0003rlf,Animal Farm by George Orwell,2019-03-31,The Clash,Janie Jones,Madness,Baggy Trousers,Bob Marley & The Wailers,Natty Dread,Leonard Bernstein,Dance At The Gym,The Beatles,Strawberry Fields Forever,Henry Purcell,When I Am Laid In Earth,The Style Council,Walls Come Tumbling Down,Stevie Wonder,Jesus Children Of America
Michael Sandel,philosopher,https://www.bbc.co.uk/programmes/m0010wl5,The Collected Dialogues of Plato,2021-10-24,Nina Simone,Feeling Good,Bob Dylan,Only A Pawn In Their Game,Odetta,Battle Hymn of the Republic,Billie Holiday,Strange Fruit,Original Broadway Cast of Hamilton,Alexander Hamilton,Leonard Cohen,Anthem,Kiku Adatto,The Stars Will Sing To You,Ray Charles,America The Beautiful
Noel Gallagher,,https://www.bbc.co.uk/programmes/b062hplj,On the Road by Jack Kerouac,2015-07-19,Sex Pistols,Pretty Vacant,David Bowie,Let's Dance,Pink Floyd,Nobody Home,The Smiths,Hand in Glove,A Guy Called Gerald,Voodoo Ray (original Mix),U2,With Or Without You,The Ronettes,Be My Baby,The Beatles,Ticket to Ride
